阿旗220千伏输变电站建设工程建筑面积为38487平方米监管中心迁建项目52655651,总投资1720万元电力改迁工程,http://www.qianlima.com/zb/detail/20170317_52655651.html,三门峡,商业,设计阶段,公用事业设施,不装修,1720万,2017-05-18
51419486,建筑面积约5000平方米厂房建设项目,http://www.qianlima.com/zb/detail/20170223_51419486.html,哈尔滨,商业,立项,工业,不装修,3000万,2017-02-23
34641410,总建筑面积为32000平方米中学建设项目,http://www.qianlima.com/zb/detail/20160407_34641410.html,长沙,政府,施工准备,教育及研究,简装修,未确定,2017-03-09
24922710,投资19619万元市政配套工程,http://www.qianlima.com/zb/detail/20150717_24922710.html,漳州,商业,施工在建,基础建设,不装修,19619万,2017-02-08
48842963,总建筑面积为7280平方米住宅楼建设项目,http://www.qianlima.com/zb/detail/20161223_48842963.html,邢台,商业,施工在建,住宅,简装修,2000万,2017-01-11
24473105,投资6500万元河清淤工程,http://www.qianlima.com/zb/detail/20150706_24473105.html,广州,商业,施工在建,基础建设,不装修,6500万,2017-01-06
18796474,小区建设项目,http://www.qianlima.com/zb/detail/20141204_18796474.html,吉林,商业,施工准备,住宅,简装修,未确定,2017-04-21
41271923,总建筑面积为6000平方米实验检测设备库,http://www.qianlima.com/zb/detail/20160824_41271923.html,北京,商业,施工准备,商业及零售,未确定,4000万,2017-03-09
54409236,科技八路快速通道工程,http://www.qianlima.com/zb/detail/20170417_54409236.html,西安,政府,立项,基础建设,不装修,170000万,2017-04-19
46244296,总建筑面积为8170平方米狱政设施建设项目,http://www.qianlima.com/zb/detail/20161118_46244296.html,石家庄,政府,设计阶段,商业及零售,司法,简装修,未确定,2017-03-14
54646343,抽水蓄能电站开发项目,http://www.qianlima.com/zb/detail/20170420_54646343.html,温州,商业,施工准备,农业,基础建设,公用事业设施,不装修,450000万,2017-04-21
39782248,官渎港小流域综合整治工程,http://www.qianlima.com/zb/detail/20160725_39782248.html,无锡,政府,施工在建,基础建设,未确定,2200万,2017-03-09
23259489,总建筑面积约59225平方米技师学院教学实训楼建设项目,http://www.qianlima.com/zb/detail/20150601_23259489.html,成都,商业,施工准备,教育及研究,简装修,27631万,2017-02-21
41175022,总建筑面积为6000平方米公安局信息化建设项目,http://www.qianlima.com/zb/detail/20160823_41175022.html,石家庄,政府,施工在建,司法,未确定,未确定,2017-01-17
19805969,总建筑面积约102000平方米安置小区建设工程,http://www.qianlima.com/zb/detail/20150113_19805969.html,株洲,商业,施工在建,住宅,简装修,21160万,2017-04-10
16549073,建筑面积为10080平方米污泥处理厂项目,http://www.qianlima.com/zb/detail/20140904_16549073.html,北京,商业,施工准备,公用事业设施,不装修,5997万,2017-02-23
36560074,建筑面积为233895平方米医院建设项目,http://www.qianlima.com/zb/detail/20160520_36560074.html,宿迁,商业,施工在建,医疗,精装修,未确定,2017-03-16
38479929,总建筑面积为5000平方米综合实训楼建设项目,http://www.qianlima.com/zb/detail/20160628_38479929.html,西安,政府,施工准备,教育及研究,未确定,1000万,2017-05-12
29868298,建筑面积为15030平方米生产基地项目,http://www.qianlima.com/zb/detail/20151120_29868298.html,北京,商业,施工准备,工业,未确定,12000万,2017-03-03
51005779,总投资2200万元输变电建设工程,http://www.qianlima.com/zb/detail/20170215_51005779.html,泉州,商业,立项,公用事业设施,不装修,2200万,2017-02-16
51438744,总投资12000万元水库建设工程,http://www.qianlima.com/zb/detail/20170223_51438744.html,丽江,政府,立项,基础建设,不装修,12000万,2017-02-24
44165169,总建筑面积1081506平方米恒大首府住宅楼建设项目 (二期) (含别墅),http://www.qianlima.com/zb/detail/20161018_44165169.html,鄂州,商业,施工在建,住宅,酒店与餐饮,社区,休闲娱乐,交通,精装修,251000万,2017-01-18
49402464,总投资60000万元乡村旅游综合开发项目,http://www.qianlima.com/zb/detail/20170103_49402464.html,赣州,政府,立项,酒店与餐饮,会展,农业,不装修,60000万,2017-02-04
53755509,总建筑面积为10000平方米开放性公共技能实训基地建设项目,http://www.qianlima.com/zb/detail/20170406_53755509.html,资阳,政府,立项,教育及研究,简装修,2500万,2017-04-10
55756277,总建筑面积68000平方米恩施市惠康医院及健康养老建设项目,http://www.qianlima.com/zb/detail/20170509_55756277.html,恩施土家族苗族自治州,商业,立项,医疗,精装修,15000万,2017-05-18
46086344,总建筑面积为92500平方米住宅楼建设项目,http://www.qianlima.com/zb/detail/20161116_46086344.html,宁波,商业,施工在建,住宅,交通,不装修,14800万,2017-01-10
51034271,总建筑面积为4522平方米增城区中新镇中心卫生院福和分院改扩建工程,http://www.qianlima.com/zb/detail/20170215_51034271.html,广州,政府,施工准备,医疗,简装修,1400万,2017-05-24
50137307,总投资20000万元公路改建工程,http://www.qianlima.com/zb/detail/20170117_50137307.html,咸阳,政府,设计阶段,基础建设,不装修,20000万,2017-02-08
42233213,总建筑面积约45000平方米学校建设项目,http://www.qianlima.com/zb/detail/20160912_42233213.html,莱芜,政府,施工在建,教育及研究,简装修,7200万,2017-03-31
